episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.409919,-0.121474,-0.409919,0.2496,636,636,31,0.2401,0.2963,9803,9799,0.7038,9.3,0.3904,0.1592,0.2487,58.9883,0.3299,0.2303,10.9748,0.072588,0.6271,0.1691,11570,1842,0,0.284556,300340,1055468,0.1,9728,0,38707,75,0.006487,0.02128
2,4000,10.0,-0.466807,-0.13009,-0.466807,0.4363,2130,1494,106,0.2599,0.2787,23288,23280,2.585,45.2,0.3521,0.1868,4.7142,302.4824,0.6053,5.7899,10.5112,0.145768,0.3192,0.0846,28413,5308,4,0.27452,606858,2210611,0.1424,23105,0,87856,179,0.015934,0.03696
3,6000,15.0,-0.312764,-0.12514,-0.312764,0.6805,4545,2415,227,0.3509,0.4001,38873,38866,1.0299,23.7,0.4934,0.196,0.477,150.8597,0.505,0.4619,10.5005,0.245441,0.4917,0.0748,47965,9403,10,0.258095,844855,3273429,0.1394,38562,0,193882,301,0.026897,0.06496
4,8000,20.0,-0.057267,-0.135092,-0.057267,0.6987,5082,537,254,2.6162,2.359,8578,8576,2.6815,29.3,2.4039,0.1315,1.42,137.8633,0.9906,1.6725,10.5037,0.048556,0.8558,0.353,9495,1249,2,0.253073,1079899,4267141,1.435,8246,0,210349,330,0.005318,0.02352
5,10000,25.0,-0.056706,-0.166514,-0.056706,0.7404,5631,549,281,3.2297,2.9365,9047,9041,3.565,45.2,2.9529,0.1528,2.2157,232.5769,1.7802,2.5363,10.4998,0.052274,0.8062,0.3574,10229,1563,2,0.248733,1331759,5354165,2.0421,8666,0,273925,378,0.00573,0.02128
6,12000,30.0,-0.046961,-0.139001,-0.046961,0.6944,6186,555,309,3.2516,2.9599,9283,9274,2.9858,39.5,2.9261,0.2153,1.3041,203.9257,0.6598,1.9141,10.5114,0.05834,0.8446,0.3449,11382,2450,12,0.287349,1744107,6069646,1.5387,8932,0,283260,337,0.006375,0.01792
7,14000,35.0,-0.041409,-0.175901,-0.041409,0.6996,6614,428,330,4.6992,4.2479,6596,6595,3.8413,43.4,4.2136,0.2029,1.8071,229.5313,1.1295,2.4542,10.4924,0.040081,0.9098,0.3692,7855,1594,6,0.300652,1913418,6364224,2.6504,6261,0,286222,329,0.004399,0.01344
8,16000,5.0,-0.051332,-0.116363,-0.051332,0.6881,6764,150,338,2.7444,2.2669,1823,1823,2.7968,20.7,2.1741,0.1495,0.7998,41.7208,0.4885,0.8643,10.5077,0.010451,0.8499,0.5419,2040,305,0,0.288268,298852,1036717,1.0378,1735,0,42996,88,0.001144,0.00672
9,18000,10.0,-0.041045,-0.161469,-0.041045,0.6785,6960,196,348,4.682,3.9339,2358,2357,3.6198,34.5,3.8186,0.1264,1.7184,116.6286,1.5009,1.7759,10.5015,0.012772,0.8745,0.4327,2492,315,0,0.275959,585137,2120375,2.8013,2177,0,94763,181,0.001398,0.00672
10,20000,15.0,-0.042517,-0.20082,-0.042517,0.6666,7197,237,359,5.5755,4.7233,3127,3127,4.2072,33.2,4.6786,0.1291,2.3494,173.1696,3.1232,2.0396,10.5141,0.016982,0.8899,0.3185,3307,427,0,0.265247,851753,3211165,3.7052,2880,0,150410,247,0.001854,0.00784
11,22000,20.0,-0.047717,-0.224771,-0.047717,0.6754,7482,285,374,5.6215,4.7105,3923,3921,4.1467,45.4,4.6614,0.1153,3.1307,290.559,2.5438,3.4107,10.5051,0.020919,0.8461,0.2874,4084,471,0,0.255925,1069483,4178887,4.6054,3613,0,188099,310,0.002288,0.01008
12,24000,25.0,-0.043372,-0.184246,-0.043372,0.712,7902,420,395,4.9592,4.248,6137,6133,3.7232,32.8,4.1698,0.1632,2.0988,205.7748,1.2928,2.7202,10.5002,0.035387,0.875,0.3557,6924,1130,1,0.251857,1334865,5300085,3.0798,5794,0,266125,342,0.003879,0.01568
13,26000,30.0,-0.041149,-0.188166,-0.041149,0.6801,8342,440,417,5.2891,4.5728,6528,6526,3.8582,36.2,4.4562,0.1684,2.0181,200.9158,1.4624,2.4783,10.4843,0.037499,0.878,0.4574,7369,1241,1,0.292157,1749001,5986517,3.2942,6128,0,304334,399,0.004127,0.0168
14,28000,35.0,-0.045091,-0.256682,-0.045091,0.6799,8765,423,438,6.4538,5.6926,5944,5942,5.1899,45.5,5.7051,0.174,3.0248,267.1064,2.0463,4.2535,10.5203,0.034561,0.8381,0.3348,6723,1170,2,0.291508,1839035,6308693,4.3176,5553,0,343605,388,0.003765,0.0112
15,30000,5.0,-0.03789,-0.190875,-0.03789,0.6421,8858,93,442,6.5395,5.0376,796,796,4.5954,25.9,4.4162,0.1345,2.0203,130.7387,1.8888,2.0468,10.5421,0.004263,0.849,0.3783,825,111,0,0.288108,305625,1060801,3.7523,714,0,40752,82,0.000462,0.00448
16,32000,10.0,-0.041424,-0.206144,-0.041424,0.6357,9006,148,450,6.361,4.9764,1565,1563,4.5404,33.3,4.5941,0.1428,2.2374,129.3554,2.4646,2.1727,10.5087,0.008398,0.8508,0.3906,1639,234,0,0.279222,583733,2090573,3.861,1405,0,79080,158,0.000918,0.0056
17,34000,15.0,-0.051012,-0.31176,-0.051012,0.6565,9264,258,463,7.1891,6.1115,3110,3108,5.142,45.2,5.9192,0.1225,3.4908,223.8304,2.9629,3.7325,10.51,0.016551,0.8885,0.3933,3232,396,0,0.26183,893414,3412196,5.8061,2836,0,192600,274,0.00181,0.00896
18,36000,20.0,-0.0439,-0.229165,-0.0439,0.6306,9539,275,476,6.2429,5.2201,3747,3745,4.3636,41.8,5.1811,0.1307,2.8156,349.1956,2.5171,2.9766,10.4789,0.02002,0.8932,0.1903,3939,515,1,0.244333,1086540,4446960,4.4137,3424,0,198726,321,0.002206,0.01008
19,38000,25.0,-0.045785,-0.251682,-0.045785,0.6365,9883,344,494,6.27,5.497,5109,5107,4.5739,40.8,5.4524,0.1608,3.0227,225.0966,2.2647,3.6096,10.5062,0.028999,0.8843,0.3662,5667,911,0,0.250556,1324500,5286233,4.7671,4756,0,285288,353,0.003174,0.01232
20,40000,30.0,-0.050495,-0.297598,-0.050495,0.626,10252,369,512,6.6257,5.8937,5155,5152,4.7182,43.2,5.9315,0.1909,3.7788,298.3165,2.3844,4.8717,10.4787,0.029926,0.9081,0.3344,5889,1124,4,0.280871,1712675,6097722,5.9504,4765,0,308196,386,0.0033,0.01232
21,42000,35.0,-0.05279,-0.305737,-0.05279,0.6242,10620,368,531,6.4726,5.7915,5241,5236,4.7565,45.2,5.7848,0.1881,3.8326,247.0136,2.9599,4.4981,10.5015,0.03057,0.8735,0.3913,5975,1124,2,0.298926,1889257,6320160,5.7363,4851,0,307880,388,0.003348,0.01568
22,44000,5.0,-0.040141,-0.205247,-0.040141,0.6081,10730,110,536,6.0757,5.1132,1035,1034,4.0616,33.6,5.2069,0.1094,2.6693,205.2435,6.2832,1.6743,10.525,0.005449,0.9207,0.2493,1060,116,0,0.288355,296233,1027321,4.1199,944,0,53749,91,0.000594,0.00448
23,46000,10.0,-0.039122,-0.195508,-0.039122,0.6197,10894,164,544,5.8221,4.9974,1856,1854,4.0687,33.4,4.9788,0.1331,2.2701,188.9328,2.8963,2.078,10.5194,0.010004,0.8915,0.3109,1946,259,0,0.275622,613383,2225447,4.0421,1687,0,94221,169,0.00109,0.00672
24,48000,15.0,-0.043737,-0.255271,-0.043737,0.5996,11086,192,554,6.9051,5.8365,2097,2095,4.7087,44.6,5.8571,0.1266,3.4968,359.6565,3.2716,3.5483,10.4956,0.010972,0.8726,0.1528,2149,272,0,0.268667,836330,3112883,5.6209,1877,0,123985,220,0.001205,0.00672
25,50000,20.0,-0.050726,-0.298678,-0.050726,0.5886,11357,271,567,6.8284,5.8881,3572,3568,4.7236,43.8,5.8148,0.1266,3.4802,194.9894,3.0659,3.7047,10.5216,0.019078,0.8909,0.3361,3713,470,0,0.259545,1105101,4257836,6.158,3243,0,213128,328,0.00208,0.00784
26,52000,25.0,-0.048745,-0.299148,-0.048745,0.597,11685,328,584,6.9753,6.1369,4579,4574,5.0707,44.8,6.1978,0.1594,3.6716,294.5952,3.005,4.2205,10.5035,0.025572,0.8893,0.2438,5001,797,0,0.258908,1400077,5407614,5.7347,4204,0,284693,375,0.002801,0.0112
27,54000,30.0,-0.04768,-0.2806,-0.04768,0.6149,12071,386,603,6.771,5.885,5007,5003,4.9668,45.3,5.805,0.179,3.3446,257.0252,2.0303,4.4347,10.4941,0.02872,0.8757,0.4119,5625,1007,2,0.291878,1787131,6122872,5.3776,4618,0,298832,386,0.003151,0.01008
28,56000,35.0,-0.048956,-0.307358,-0.048956,0.6028,12416,345,620,7.124,6.2783,4428,4421,5.2635,45.5,6.4143,0.1817,3.484,261.3428,2.18,4.5888,10.4876,0.025426,0.8615,0.3829,4992,907,2,0.299522,1869816,6242668,5.6868,4085,0,281453,340,0.002796,0.0112
29,58000,5.0,-0.039633,-0.218916,-0.039633,0.6354,12508,92,625,6.6821,5.5236,711,711,4.4899,28.7,5.4231,0.0942,2.6704,212.6942,1.9889,2.8519,10.4748,0.003554,0.8646,0.2723,701,66,0,0.28947,286033,988127,4.6041,635,0,39851,76,0.000393,0.00336
30,60000,10.0,-0.039717,-0.187519,-0.039717,0.5828,12688,180,634,5.6393,4.7214,1976,1974,3.899,24.3,4.7765,0.1254,2.2037,168.235,2.1782,2.2117,10.4911,0.010489,0.9093,0.2969,2058,258,0,0.277396,626591,2258833,3.8498,1800,0,94868,176,0.001153,0.00784
31,62000,15.0,-0.040519,-0.210644,-0.040519,0.5899,12919,231,645,5.9758,5.1986,3037,3034,4.5319,45.2,5.33,0.1263,2.5709,240.6722,2.4797,2.6147,10.5014,0.016188,0.8502,0.2498,3166,400,0,0.26359,875334,3320821,4.1526,2766,0,160324,271,0.001774,0.0112
32,64000,20.0,-0.051108,-0.299309,-0.051108,0.5498,13226,307,661,6.7262,5.8564,4096,4091,4.8212,36.1,5.8333,0.1255,3.8354,239.8438,2.9604,4.3818,10.4895,0.021861,0.8913,0.4411,4286,538,0,0.246425,1030372,4181281,6.238,3748,0,243126,348,0.002403,0.00896
33,66000,25.0,-0.047167,-0.270371,-0.047167,0.5774,13567,341,678,6.5676,5.7322,4585,4580,4.8502,45.2,5.8435,0.1843,3.2932,285.5851,1.9933,4.3447,10.4904,0.026411,0.8397,0.2255,5183,955,3,0.254496,1352072,5312747,5.2555,4228,0,266532,354,0.002904,0.0112
34,68000,30.0,-0.046267,-0.264698,-0.046267,0.5622,13926,359,696,6.4083,5.7211,4903,4899,4.6969,43.1,5.7744,0.1848,2.9013,286.5419,1.8765,3.8095,10.5036,0.028566,0.8764,0.3435,5585,1032,2,0.276424,1654110,5983964,4.7539,4553,0,284628,348,0.003128,0.01232
35,70000,35.0,-0.048392,-0.27273,-0.048392,0.5682,14314,388,715,6.2391,5.6359,5440,5432,4.7265,45.2,5.7102,0.1763,3.42,319.6208,2.3935,4.3793,10.5026,0.031412,0.8279,0.24,6139,1082,2,0.294028,1884431,6409020,5.0117,5057,0,310985,380,0.00344,0.01232
36,72000,5.0,-0.038598,-0.212437,-0.038598,0.5776,14416,102,720,6.6138,5.5038,920,919,4.6244,33.9,5.5738,0.1169,3.0529,236.236,2.961,3.0771,10.4899,0.004705,0.8623,0.1376,924,108,1,0.285455,332371,1164357,5.0113,816,0,51322,103,0.000517,0.00448
37,74000,10.0,-0.039127,-0.214217,-0.039127,0.547,14563,147,728,6.7082,5.4749,1562,1559,4.7088,45.2,5.3493,0.1171,2.7304,210.3348,3.7358,2.5307,10.5133,0.008155,0.8527,0.2831,1588,186,0,0.270145,585000,2165503,4.3371,1402,0,86636,160,0.000889,0.0056
